# Event	Time [ms]	ADC	datum
223	3312	1	59
223	3312	2	1634
223	3312	3	1516
224	3317	0	4900
224	3317	1	0
224	3317	2	1566
224	3317	3	1573
225	3364	0	7774
225	3364	1	0
225	3364	2	1550
225	3364	3	1684
226	3370	0	5721
226	3370	1	47
226	3370	2	1572
226	3370	3	1611
227	3400	0	8191
227	3400	1	0
227	3400	2	1657
227	3400	3	1550
228	3403	0	4902
228	3403	1	47
228	3403	2	1577
228	3403	3	1590
229	3450	0	8180
229	3450	1	64
229	3450	2	1567
229	3450	3	1691
230	3485	2	1677
230	3485	3	1615
231	3502	0	7771
231	3502	1	85
231	3502	2	1536
231	3502	3	1679
232	3508	0	2033
232	3508	1	0
232	3508	2	1634
232	3508	3	1508
233	3531	2	1675
233	3531	3	1612
234	3545	0	8191
234	3545	1	46
234	3545	2	1660
234	3545	3	1554
235	3566	2	1690
235	3566	3	1623
236	3588	0	5309
236	3588	1	0
236	3588	2	1571
236	3588	3	1600
237	3595	0	4901
237	3595	1	0
237	3595	2	1587
237	3595	3	1587
238	3601	2	1555
238	3601	3	1619
239	3614	2	1690
239	3614	3	1622
240	3625	0	3671
240	3625	1	0
240	3625	2	1601
240	3625	3	1534
241	3634	2	1681
241	3634	3	1578
242	3639	2	1534
242	3639	3	1678
243	3658	0	8191
243	3658	1	0
243	3658	2	1658
243	3658	3	1576
244	3677	0	8191
244	3677	1	0
244	3677	2	1558
244	3677	3	1699
245	3681	0	8191
245	3681	1	0
245	3681	2	1555
245	3681	3	1715
246	3715	0	3264
246	3715	1	0
246	3715	2	1605
246	3715	3	1529
247	3721	0	6542
247	3721	1	0
247	3721	2	1559
247	3721	3	1646
248	3749	0	8191
248	3749	1	0
248	3749	2	1567
248	3749	3	1702
249	3753	0	4902
249	3753	1	0
249	3753	2	1589
249	3753	3	1578
250	3756	0	2439
250	3756	1	0
250	3756	2	1628
250	3756	3	1521
251	3761	2	1657
251	3761	3	1608
252	3782	2	1673
252	3782	3	1596
253	3802	2	1676
253	3802	3	1601
